iteration,fx,dfx
151,97.7967442374421,2.166831685447221
152,97.79204618665341,2.1695011394903494
153,97.78733658854675,2.1721412333696435
154,97.78261555639698,2.1747520959684894
155,97.77788320337275,2.1773338640966373
156,97.77313964249441,2.1798866822995575
157,97.76838498659261,2.1824107026620023
158,97.76361934826754,2.184906084606122
159,97.75884283984897,2.187372994684509
160,97.7540555733572,2.1898116063685276
161,97.74925766046482,2.1922220998323128
162,97.74444921245937,2.1946046617328103
163,97.73963034020665,2.1969594849862326
164,97.73480115411549,2.199286768541318
165,97.72996176410308,2.201586717149757
166,97.72511227956129,2.2038595411341855
167,97.72025280932421,2.2061054561540985
168,97.71538346163663,2.2083246829700687
169,97.71050434412336,2.2105174472066382
170,97.70561556375996,2.212683979114246
171,97.70071722684428,2.2148245133305484
