iteration,fx,dfx
62,3.9261616440416773,1.7997942052908322
63,3.9229219809301514,1.8002432166915963
64,3.9196807005406993,1.8006930276885336
65,3.916437799587891,1.8011436405221335
66,3.9131932747760576,1.8015950574406665
67,3.9099471227992506,1.8020472807002084
68,3.906699340341202,1.8025003125646655
69,3.9034499240752853,1.8029541553058044
70,3.900198870664474,1.8034088112032747
71,3.8969461767613005,1.803864282544637
72,3.893691839007816,1.8043205716253887
73,3.890435854035551,1.80477768074899
74,3.8871782184654706,1.805235612226891
75,3.883918928907935,1.8056943683785567
76,3.880657981962658,1.806153951531493
77,3.877395374218668,1.8066143640212757
78,3.87413110225426,1.8070756081915729
79,3.870865162636958,1.807537686394173
80,3.8675975519234735,1.8080006009890122
81,3.8643282666596597,1.808464354344198
82,3.8610573033804716,1.8089289488360372
83,3.857784658609923,1.8093943868490614
84,3.8545103288610423,1.8098606707760527
85,3.851234310635831,1.810327803018071
86,3.8479566004252175,1.8107957859844783
87,3.8446771947090204,1.811264622092968
88,3.841396089955895,1.8117343137695854
89,3.8381132826233,1.8122048634487584
90,3.834828769157446,1.8126762735733228
91,3.831542545993254,1.813148546594546
92,3.8282546095543126,1.8136216849721554
93,3.8249649562528303,1.8140956911743606
94,3.8216735824895935,1.814570567677884
95,3.818380484653923,1.8150463169679831
96,3.8150856591236213,1.815522941538476
97,3.81178910226494,1.8160004438917698
98,3.808490810432523,1.8164788265388834
99,3.805190779969366,1.816958091999474
100,3.801889007206771,1.8174382428018618
101,3.7985854884643016,1.8179192814830574
102,3.795280220049731,1.8184012105887843
103,3.7919731982590053,1.8188840326735067
104,3.7886644193761856,1.8193677503004517
105,3.7853538796734116,1.8198523660416375
106,3.78204157541085,1.8203378824778962
107,3.7787275028366483,1.8208243021988986
108,3.7754116581868873,1.8213116278031805
109,3.7720940376855348,1.8217998618981666
110,3.768774637544397,1.8222890071001936
111,3.765453453963071,1.8227790660345373
112,3.762130483128899,1.8232700413354352
113,3.7588057212169175,1.8237619356461114
114,3.755479164389809,1.8242547516187992
115,3.7521508087978575,1.824748491914768
116,3.7488206505788964,1.8252431592043445
117,3.7454886858582586,1.8257387561669378
118,3.7421549107487317,1.826235285491062
119,3.738819321350507,1.8267327498743615
120,3.7354819137511295,1.8272311520236317
121,3.732142684025449,1.8277304946548454
122,3.72880162823557,1.8282307804931717
123,3.7254587424308023,1.8287320122730029
124,3.722114022647612,1.8292341927379745
125,3.71876746490957,1.8297373246409887
126,3.7154190652273007,1.830241410744237
127,3.712068819598435,1.8307464538192226
128,3.708716724007555,1.83125245664678
129,3.705362774426147,1.8317594220171007
130,3.702006966812547,1.8322673527297508
131,3.6986492971118934,1.8327762515936956
132,3.695289761256071,1.8332861214273188
133,3.6919283551636655,1.8337969650584447
134,3.6885650747399032,1.8343087853243574
135,3.685199915876606,1.834821585071823
136,3.6818328744521382,1.8353353671571089
137,3.67846394633135,1.8358501344460045
138,3.6750931273655314,1.8363658898138402
139,3.6717204133923524,1.8368826361455066
140,3.6683458002358176,1.8374003763354767
141,3.6649692837062053,1.8379191132878203
142,3.66159085960002,1.8384388499162265
143,3.658210523699937,1.8389595891440211
144,3.6548282717747513,1.8394813339041838
145,3.6514440995793174,1.8400040871393675
146,3.6480580028545035,1.8405278518019144
147,3.6446699773271307,1.8410526308538748
148,3.6412800187099217,1.841578427267023
149,3.637888122701447,1.8421052440228742
150,3.6344942849860704,1.8426330841127014
151,3.631098501233891,1.84316195053755
152,3.6277007671006904,1.843691846308255
153,3.6243010782278806,1.8442227744454551
154,3.6208994302424413,1.8447547379796077
155,3.6174958187568715,1.8452877399510033
156,3.6140902393691303,1.845821783409781
157,3.610682687662583,1.8463568714159402
158,3.607273159205942,1.846893007039355
159,3.603861649553214,1.8474301933597872
160,3.600448154243642,1.8479684334668978
161,3.59703266880165,1.848507730460261
162,3.593615188736784,1.849048087449373
163,3.590195709543657,1.8495895075536652
164,3.5867742267018934,1.8501319939025143
165,3.583350735676068,1.8506755496352525
